Suffix মএ not at end of wordform অতইথইশআলআয়, af: ['অতিথিশালা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix ভএ not at end of wordform উঠএ, af: ['উঠ', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix এর not at end of wordform উপত্যকআর, af: ['উপত্যকা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix ভএ not at end of wordform উপড়এ, af: ['উপড়', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএই not at end of wordform উড়ইয়এই, af: ['উস্ক', 'v', '', '', 'any', '', 'ভেই', 'ভেই']
Suffix ভএ not at end of wordform উড়এ, af: ['উড়', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform এনএ, af: ['আন', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ইয়এ not at end of wordform এসএ, af: ['এগা', 'v', '', '', 'any', '', 'ইয়ে', 'ইয়ে']
Suffix ভএ not at end of wordform এসএ, af: ['আস', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform এসএ, af: ['আস', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix আই not at end of wordform এসএই, af: ['আস', 'v', '', '', 'any', '', 'আই', 'আই']
Suffix এর not at end of wordform ওর, af: ['ও', 'pn', '', 'sg', '', 'o', 'এর', 'এর']
Suffix মএ not at end of wordform কখন, af: ['কখন', 'pn', '', '', '', 'd', 'মে', 'মে']
Suffix মএ not at end of wordform কখনই, af: ['কখন', 'pn', '', '', '', 'd', 'মে', 'মে']
Suffix মএ not at end of wordform কখনও, af: ['কখন', 'pn', '', '', '', 'd', 'মে', 'মে']
Suffix মএ not at end of wordform কখনও, af: ['কখন', 'pn', '', '', '', 'd', 'মে', 'মে']
Suffix মএ not at end of wordform কখনও, af: ['কখন', 'pn', '', '', '', 'd', 'মে', 'মে']
Suffix এর not at end of wordform কথআর, af: ['কথা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix মএ not at end of wordform কথআয়, af: ['কথা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix মএ not at end of wordform কথআয়, af: ['কথা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix এর not at end of wordform কমলআর, af: ['কমলা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix ভএ not at end of wordform কমএ, af: ['কম', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix নএ not at end of wordform কর, af: ['কর', 'v', '', '', '2', '', 'নে', 'নে']
Suffix নএ not at end of wordform করই, af: ['কর', 'v', '', '', '1', '', 'নে', 'নে']
Suffix নএ not at end of wordform করএ, af: ['কর', 'v', '', '', '3', '', 'নে', 'নে']
Suffix ভএ not at end of wordform করএ, af: ['কর', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform করএ, af: ['কর', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix নএ not at end of wordform করএ, af: ['কর', 'v', '', '', '3', '', 'নে', 'নে']
Suffix ভএ not at end of wordform করএ, af: ['কর', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform করএ, af: ['কর', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix নএ not at end of wordform করএ, af: ['কর', 'v', '', '', '3', '', 'নে', 'নে']
Suffix ভএ not at end of wordform করএ, af: ['কর', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix নএ not at end of wordform করএ, af: ['কর', 'v', '', '', '3', '', 'নে', 'নে']
Suffix ভএ not at end of wordform করএ, af: ['কর', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform করএ, af: ['কর', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform করএ, af: ['কর', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএই not at end of wordform করএই, af: ['কর', 'v', '', '', 'any', '', 'ভেই', 'ভেই']
Suffix ভএও not at end of wordform করএও, af: ['কর', 'v', '', '', 'any', '', 'ভেও', 'ভেও']
Suffix ভএও not at end of wordform করএও, af: ['কর', 'v', '', '', 'any', '', 'ভেও', 'ভেও']
Suffix ভএও not at end of wordform করএও, af: ['কর', 'v', '', '', 'any', '', 'ভেও', 'ভেও']
Suffix এর not at end of wordform কলকআতআর, af: ['কলকাতা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix মএ not at end of wordform কলকআতআয়, af: ['কলকাতা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix মএ not at end of wordform কআঁটআয়, af: ['কাঁটা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix মএ not at end of wordform কআঁটআয়, af: ['কাঁটা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix মএ not at end of wordform কআদআয়, af: ['কাদা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix ভএ not at end of wordform কআমড়এ, af: ['কামড়া', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix এর not at end of wordform কআর, af: ['কে', 'pn', '', 'sg', '', 'o', 'এর', 'এর']
Suffix মএ not at end of wordform কআয়দআয়, af: ['কায়দা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix ভএ not at end of wordform কইনএ, af: ['কিন', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএও not at end of wordform কইনএওছইলআম, af: ['কিনা', 'v', '', '', 'any', '', 'ভেও', 'ভেও']
Suffix মএ not at end of wordform কউয়আশআয়, af: ['কুয়াশা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix ভএ not at end of wordform কএটএ, af: ['কাট', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform কএটএ, af: ['কাট', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform কএড়এ, af: ['কাড়', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix মএ not at end of wordform ক্ষউধআয়, af: ['ক্ষুধা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix নএ not at end of wordform খআও, af: ['খা', 'v', '', '', '2', '', 'নে', 'নে']
Suffix নএ not at end of wordform খআও, af: ['খা', 'v', '', '', '2', '', 'নে', 'নে']
Suffix ক not at end of wordform খআওয়আ, af: ['খাওয়া', 'v', '', '', '2', '', 'ক', 'ক']
Suffix ক not at end of wordform খআন, af: ['খা', 'v', '', '', '3', '', 'ক', 'ক']
Suffix নএ not at end of wordform খআয়, af: ['খা', 'v', '', '', '3', '', 'নে', 'নে']
Suffix ভএ not at end of wordform খউঁজএ, af: ['খুঁজ', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform খউঁজএ, af: ['খুঁজ', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix আই not at end of wordform খউলতএই, af: ['খুল', 'v', '', '', 'any', '', 'আই', 'আই']
Suffix ভএ not at end of wordform খউলএ, af: ['খুল', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform খউলএ, af: ['খুল', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform খএটএ, af: ['খাট', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform খএলএ, af: ['খা', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform খএলএ, af: ['খা', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform খএয়এ, af: ['খা', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform খএয়এ, af: ['খা', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএই not at end of wordform খএয়এই, af: ['খা', 'v', '', '', 'any', '', 'ভেই', 'ভেই']
Suffix এর not at end of wordform গন্ডআর, af: ['গন্ডা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix মএ not at end of wordform গলআয়, af: ['গলা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix নএ not at end of wordform গলএ, af: ['গল', 'v', '', '', '3', '', 'নে', 'নে']
Suffix এর not at end of wordform গআছপআলআর, af: ['গাছপালা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix মএ not at end of wordform গআছপআলআয়, af: ['গাছপালা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix নএ not at end of wordform গআড়ই, af: ['গাড়ি', 'v', '', '', '2', '', 'নে', 'নে']
Suffix ভএ not at end of wordform গইয়এ, af: ['যা', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform গইয়এ, af: ['যা', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform গইয়এ, af: ['যা', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএই not at end of wordform গইয়এই, af: ['যা', 'v', '', '', 'any', '', 'ভেই', 'ভেই']
Suffix ভএ not at end of wordform গউঁজএ, af: ['গুঁজ', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform গএলএ, af: ['গেল', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform গএলএ, af: ['গেল', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix এর not at end of wordform গয়নআর, af: ['গয়না', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix এর not at end of wordform ঘটনআর, af: ['ঘটনা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix নএ not at end of wordform ঘটএ, af: ['ঘট', 'v', '', '', '3', '', 'নে', 'নে']
Suffix মএ not at end of wordform ঘন্টআয়, af: ['ঘন্টা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix ভএ not at end of wordform ঘইরএ, af: ['ঘির', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform ঘইরএ, af: ['ঘির', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix নএ not at end of wordform ঘউরএ, af: ['ঘুর', 'v', '', '', '3', '', 'নে', 'নে']
Suffix ভএ not at end of wordform ঘউরএ, af: ['ঘুর', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix নএ not at end of wordform ঘউরএ, af: ['ঘুর', 'v', '', '', '3', '', 'নে', 'নে']
Suffix ভএ not at end of wordform ঘউরএ, af: ['ঘুর', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform চরএ, af: ['চর', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix নএ not at end of wordform চল, af: ['চল', 'v', '', '', '2', '', 'নে', 'নে']
Suffix নএ not at end of wordform চলএ, af: ['চল', 'v', '', '', '3', '', 'নে', 'নে']
Suffix ভএ not at end of wordform চলএ, af: ['চল', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix নএ not at end of wordform চলএ, af: ['চল', 'v', '', '', '3', '', 'নে', 'নে']
Suffix নএ not at end of wordform চআই, af: ['চা', 'v', '', '', '1', '', 'নে', 'নে']
Suffix ক not at end of wordform চআপআ, af: ['চাপা', 'v', '', '', '2', '', 'ক', 'ক']
Suffix মএ not at end of wordform চআরদইক, af: ['চারদিক', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix নএ not at end of wordform চআয়, af: ['চা', 'v', '', '', '3', '', 'নে', 'নে']
Suffix ভএ not at end of wordform চইরএ, af: ['চিরা', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix এর not at end of wordform চঊড়আর, af: ['চূড়া', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix ভএ not at end of wordform চএপএ, af: ['চাপ', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform চএপএ, af: ['চাপ', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএই not at end of wordform চএপএই, af: ['চাপ', 'v', '', '', 'any', '', 'ভেই', 'ভেই']
Suffix ভএ not at end of wordform চএয়এ, af: ['চা', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform চএয়এ, af: ['চা', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix এর not at end of wordform চঔমআথআর, af: ['চৌমাথা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix ভএ not at end of wordform চড়এ, af: ['চড়', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix মএ not at end of wordform ছটআয়, af: ['ছটা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix এর not at end of wordform ছআয়আর, af: ['ছায়া', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix ভএ not at end of wordform ছউঁয়এ, af: ['ছোঁ', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform ছউটএ, af: ['ছুট', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform ছএড়এ, af: ['ছাড়', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform ছএড়এ, af: ['ছাড়', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix এর not at end of wordform জলআর, af: ['জলা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix ক not at end of wordform জআনআ, af: ['জানা', 'v', '', '', '2', '', 'ক', 'ক']
Suffix এর not at end of wordform জআনআলআর, af: ['জানালা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix এর not at end of wordform জআয়গআর, af: ['জায়গা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix মএ not at end of wordform জআয়গআয়, af: ['জায়গা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix ভএ not at end of wordform জউড়এ, af: ['জুড়', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform জএনএ, af: ['জান', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix মএ not at end of wordform ঝটকআয়, af: ['ঝটকা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix ভএ not at end of wordform ঝউঁকএ, af: ['ঝুঁক', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix মএ not at end of wordform ঝওরআয়, af: ['ঝোরা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix ক not at end of wordform টআটআ, af: ['টাটা', 'v', '', '', '2', '', 'ক', 'ক']
Suffix মএ not at end of wordform ঠইকআনআয়, af: ['ঠিকানা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix মএ not at end of wordform ঠইকআনআয়, af: ['ঠিকানা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix ভএ not at end of wordform ঠএলএ, af: ['ঠেল', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform ঠএলএ, af: ['ঠেল', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform ডএকএ, af: ['ডাক', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform ঢলএ, af: ['ঢল', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform ঢউকএ, af: ['ঢুক', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix নএ not at end of wordform ঢউকএ, af: ['ঢুক', 'v', '', '', '3', '', 'নে', 'নে']
Suffix ভএ not at end of wordform ঢউকএ, af: ['ঢুক', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform ঢএলএ, af: ['ঢাল', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform ঢএলএ, af: ['ঢাল', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix মএ not at end of wordform তখনই, af: ['তখন', 'pn', '', '', '', 'd', 'মে', 'মে']
Suffix মএ not at end of wordform তখনও, af: ['তখন', 'pn', '', '', '', 'd', 'মে', 'মে']
Suffix মএ not at end of wordform তলআয়, af: ['তলা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix এর not at end of wordform তআঁবউর, af: ['তাঁবু', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix এর not at end of wordform তআঁর, af: ['তিনি', 'pn', '', 'sg', '', 'o', 'এর', 'এর']
Suffix নএ not at end of wordform তআতএ, af: ['তাত', 'v', '', '', '3', '', 'নে', 'নে']
Suffix নএও not at end of wordform তআতএও, af: ['তাত', 'v', '', '', '3', '', 'নেও', 'নেও']
Suffix এর not at end of wordform তআর, af: ['সে', 'pn', '', 'sg', '', 'o', 'এর', 'এর']
Suffix এর not at end of wordform তআর, af: ['সে', 'pn', '', 'sg', '', 'o', 'এর', 'এর']
Suffix এর not at end of wordform তআর, af: ['সে', 'pn', '', 'sg', '', 'o', 'এর', 'এর']
Suffix এর not at end of wordform তআর, af: ['সে', 'pn', '', 'sg', '', 'o', 'এর', 'এর']
Suffix এর not at end of wordform তআর, af: ['সে', 'pn', '', 'sg', '', 'o', 'এর', 'এর']
Suffix মএ not at end of wordform তআরআয়, af: ['তারা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix ক not at end of wordform তউলউন, af: ['তুল', 'v', '', '', '3', '', 'ক', 'ক']
Suffix ভএ not at end of wordform তউলএ, af: ['তুল', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix নএ not at end of wordform তউলএ, af: ['তুল', 'v', '', '', '3', '', 'নে', 'নে']
Suffix ভএ not at end of wordform তউলএ, af: ['তুল', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix এর not at end of wordform তওমআর, af: ['তুমি', 'pn', '', 'sg', '', 'o', 'এর', 'এর']
Suffix নএ not at end of wordform তওল, af: ['তুল', 'v', '', '', '2', '', 'নে', 'নে']
Suffix নএ not at end of wordform তওল, af: ['তুল', 'v', '', '', '2', '', 'নে', 'নে']
Suffix ক not at end of wordform তওলআও, af: ['তোলা', 'v', '', '', '2', '', 'ক', 'ক']
Suffix নএ not at end of wordform থআকএ, af: ['থাক', 'v', '', '', '3', '', 'নে', 'নে']
Suffix নএ not at end of wordform থআকএ, af: ['থাক', 'v', '', '', '3', '', 'নে', 'নে']
Suffix ভএ not at end of wordform থএকএ, af: ['থাক', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform থএমএ, af: ['থাম', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix মএ not at end of wordform দফআয়, af: ['দফা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix মএ not at end of wordform দফআয়, af: ['দফা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix এর not at end of wordform দরজআর, af: ['দরজা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix মএ not at end of wordform দরজআয়, af: ['দরজা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix নএ not at end of wordform দলএ, af: ['দল', 'v', '', '', '3', '', 'নে', 'নে']
Suffix নএ not at end of wordform দলএ, af: ['দল', 'v', '', '', '3', '', 'নে', 'নে']
Suffix এর not at end of wordform দশটআর, af: ['দশ', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix মএ not at end of wordform দশটআয়, af: ['দশ', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix ভএ not at end of wordform দইয়এ, af: ['দে', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform দইয়এ, af: ['দে', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform দইয়এ, af: ['দে', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix এর not at end of wordform দউঘন্টআর, af: ['দুঘন্টা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix ক not at end of wordform দএ, af: ['দে', 'v', '', '', '2', '', 'ক', 'ক']
Suffix ক not at end of wordform দএখআ, af: ['দেখা', 'v', '', '', '2', '', 'ক', 'ক']
Suffix ক not at end of wordform দএখই, af: ['দেখ', 'v', '', '', '1', '', 'ক', 'ক']
Suffix ক not at end of wordform দএখউন, af: ['দেখ', 'v', '', '', '2', '', 'ক', 'ক']
Suffix ক not at end of wordform দএখউন, af: ['দেখ', 'v', '', '', '3', '', 'ক', 'ক']
Suffix ভএ not at end of wordform দএখএ, af: ['দেখ', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform দএখএ, af: ['দেখ', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix নএ not at end of wordform দএখএ, af: ['দেখ', 'v', '', '', '3', '', 'নে', 'নে']
Suffix ভএ not at end of wordform দএখএ, af: ['দেখ', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform দএখএ, af: ['দেখ', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ক not at end of wordform দএখও, af: ['দেখ', 'v', '', '', '2', '', 'ক', 'ক']
Suffix এর not at end of wordform দওতলআর, af: ['দোতলা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix ভএ not at end of wordform দঔড়, af: ['দৌড়', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform দঔড়এ, af: ['দৌড়', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform দঔড়এ, af: ['দৌড়', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ক not at end of wordform ধর, af: ['ধর', 'v', '', '', '2', '', 'ক', 'ক']
Suffix ক not at end of wordform ধর, af: ['ধর', 'v', '', '', '2', '', 'ক', 'ক']
Suffix নএ not at end of wordform ধরআই, af: ['ধরা', 'v', '', '', '1', '', 'নে', 'নে']
Suffix ক not at end of wordform ধরউন, af: ['ধর', 'v', '', '', '2', '', 'ক', 'ক']
Suffix নএ not at end of wordform ধরএ, af: ['ধর', 'v', '', '', '3', '', 'নে', 'নে']
Suffix ভএ not at end of wordform ধরএ, af: ['ধর', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform ধরএ, af: ['ধর', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform ধরএ, af: ['ধর', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform ধরএ, af: ['ধর', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix নএ not at end of wordform ধরএ, af: ['ধর', 'v', '', '', '3', '', 'নে', 'নে']
Suffix ভএ not at end of wordform ধরএ, af: ['ধর', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform ধরএ, af: ['ধর', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ক not at end of wordform ধআওয়আ, af: ['ধাওয়া', 'v', '', '', '2', '', 'ক', 'ক']
Suffix মএ not at end of wordform ধআরআয়, af: ['ধারা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix এর not at end of wordform ধওঁয়আর, af: ['ধোঁয়া', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix এর not at end of wordform নদঈর, af: ['নদী', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix এর not at end of wordform নদঈর, af: ['নদী', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix য় not at end of wordform নন, af: ['না', 'v', '', '', '2', '', 'য়', 'য়']
Suffix য় not at end of wordform নন, af: ['না', 'v', '', '', '3', '', 'য়', 'য়']
Suffix এর not at end of wordform নআগআর, af: ['নাগা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix ভএ not at end of wordform নইয়এ, af: ['নে', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform নইয়এ, af: ['নে', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform নইয়এ, af: ['নে', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform নইয়এ, af: ['নে', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform নএমএ, af: ['নাম', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ভএ not at end of wordform নএমএ, af: ['নাম', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix ক not at end of wordform নএমও, af: ['নাম', 'v', '', '', '2', '', 'ক', 'ক']
Suffix ভএ not at end of wordform নএড়এ, af: ['নাড়', 'v', '', '', 'any', '', 'ভে', 'ভে']
Suffix এর not at end of wordform পটকআর, af: ['পটকা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix মএ not at end of wordform পথ, af: ['পথ', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix এর not at end of wordform পথচআরঈর, af: ['পথচারী', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix এর not at end of wordform পর্বতমআলআর, af: ['পর্বতমালা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix এর not at end of wordform পসরআর, af: ['পসরা', 'n', '', 'sg', '', 'o', 'এর', 'এর']
Suffix মএ not at end of wordform পআঁচটআয়, af: ['পাঁচটা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
Suffix নএ not at end of wordform পআই, af: ['পা', 'v', '', '', '1', '', 'নে', 'নে']
Suffix মএ not at end of wordform পআখআয়, af: ['পাখা', 'n', '', 'sg', '', 'd', 'মে', 'মে']
