Suffix ्यातील not at position 4, 10, of wordform अगर्‍यातील, af: ['अगरा', 'n', '', '', '', '', '्यातील', '्यातील']
Suffix 3 not at position 5, 6, of wordform आढळतात, af: ['h', 'ak', 'pre', 'आढळ', 'v', 'n', 'pl', '3']
Suffix 3 not at position 4, 5, of wordform आढळते, af: ['h', 'ak', 'pre', 'आढळ', 'v', 'n', 'sg', '3']
Suffix 3 not at position 4, 5, of wordform आढळला, af: ['p', 'ak', 'pas', 'आढळ', 'v', 'm', 'sg', '3']
Suffix 3 not at position 4, 5, of wordform आढळले, af: ['pas', 'ak', 'p', 'आढळ', 'v', 'n', 'sg', '3']
Suffix ण्यासाठी not at position -5, 3, of wordform आणि, af: ['वापर', 'v', '', '', '', '', 'साठी', 'ण्यासाठी']
Suffix o not at position 1, 2, of wordform आल, af: ['p', 'pas', 'ये', 'v', 'n', 'sg', '', 'o']
Suffix pas not at position -1, 2, of wordform आल, af: ['ये', 'v', 'n', 'sg', '3', 'o', 'आ_ल', 'pas']
Suffix 3 not at position 2, 3, of wordform आला, af: ['p', 'pas', 'ak', 'ये', 'v', 'm', 'sg', '3']
Suffix 3 not at position 2, 3, of wordform आली, af: ['p', 'pas', 'ak', 'ये', 'v', 'f', 'sg', '3']
Suffix 3 not at position 2, 3, of wordform आले, af: ['p', 'pas', 'ak', 'ये', 'v', 'n', 'sg', '3']
Suffix 3 not at position 2, 3, of wordform आले, af: ['pas', 'ak', 'p', 'ये', 'v', 'n', 'sg', '3']
Suffix o not at position 2, 3, of wordform आले, af: ['ak', 'p', 'ये', 'v', 'n', 'pl', '3', 'o']
Suffix 3 not at position 2, 3, of wordform आले, af: ['p', 'ak', 'pas', 'ये', 'v', 'm', 'pl', '3']
Suffix 3 not at position 2, 3, of wordform आले, af: ['p', 'ak', 'pas', 'ये', 'v', 'n', 'sg', '3']
Suffix 3 not at position 2, 3, of wordform आले, af: ['pas', 'ak', 'p', 'ये', 'v', 'n', 'sg', '3']
Suffix d not at position 4, 5, of wordform आलेला, af: ['kr', 'l_kr', 'ये', 'v', 'm', 'sg', '', 'd']
Suffix d not at position 4, 5, of wordform आलेलो, af: ['p', 'kr', 'ये', 'v', 'n', 'sg', '1', 'd']
Suffix o not at position 9, 10, of wordform आल्याबरोबर, af: ['l_kr', 'kr', 'ये', 'v', 'n', 'sg', '', 'o']
Suffix 3 not at position 4, 5, of wordform आवडते, af: ['h', 'ak', 'pre', 'आवड', 'v', 'n', 'sg', '3']
Suffix ची not at position 5, 7, of wordform आवरणाचे, af: ['आवरण', 'n', 'n', 'sg', '', 'o', 'ची', 'ा_ची']
Suffix ा not at position 6, 7, of wordform आवरणाचे, af: ['आवरण', 'n', 'n', 'sg', '', 'o', 'ची', 'ा_ची']
Suffix 3 not at position 2, 3, of wordform आहे, af: ['pre', 'ak', 's', 'अस', 'v', '', 'sg', '3']
Suffix 3 not at position 2, 3, of wordform आहे, af: ['pre', 'ak', 's', 'अस', 'v', '', 'sg', '3']
Suffix 3 not at position 2, 3, of wordform आहे, af: ['s', 'ak', 'pre', 'अस', 'v', '', 'sg', '3']
Suffix 3 not at position 2, 3, of wordform आहे, af: ['s', 'ak', 'pre', 'अस', 'v', '', 'sg', '3']
Suffix 3 not at position 2, 3, of wordform आहे, af: ['s', 'ak', 'pre', 'अस', 'v', '', 'sg', '3']
Suffix 3 not at position 2, 3, of wordform आहे, af: ['s', 'ak', 'pre', 'आहे', 'v', '', 'sg', '3']
Suffix 3 not at position 2, 3, of wordform आहे, af: ['s', 'ak', 'pre', 'आहे', 'v', '', 'sg', '3']
Suffix 3 not at position 2, 3, of wordform आहे, af: ['s', 'pre', 'ak', 'अस', 'v', '', 'sg', '3']
Suffix o not at position 2, 3, of wordform आहे, af: ['s', 'pre', 'अस', 'v', 'n', 'sg', '3', 'o']
Suffix त not at position 2, 3, of wordform आहे, af: ['आहे', 'v', '', 'pl', '3', '', 'त', 'त']
Suffix 3 not at position 2, 3, of wordform आहे, af: ['pre', 'ak', 's', 'अस', 'v', '', 'sg', '3']
Suffix 3 not at position 2, 3, of wordform आहे, af: ['pre', 'ak', 's', 'अस', 'v', '', 'sg', '3']
Suffix 3 not at position 2, 3, of wordform आहे, af: ['pre', 'ak', 's', 'अस', 'v', '', 'sg', '3']
Suffix 3 not at position 2, 3, of wordform आहे, af: ['s', 'ak', 'pre', 'अस', 'v', '', 'sg', '3']
Suffix 3 not at position 2, 3, of wordform आहे, af: ['s', 'ak', 'pre', 'अस', 'v', '', 'sg', '3']
Suffix 3 not at position 2, 3, of wordform आहे, af: ['s', 'ak', 'pre', 'अस', 'v', '', 'sg', '3']
Suffix 3 not at position 2, 3, of wordform आहे, af: ['s', 'ak', 'pre', 'आहे', 'v', '', 'sg', '3']
Suffix 3 not at position 2, 3, of wordform आहे, af: ['s', 'ak', 'pre', 'आहे', 'v', '', 'sg', '3']
Suffix 3 not at position 2, 3, of wordform आहे, af: ['s', 'ak', 'pre', 'आहे', 'v', '', 'sg', '3']
Suffix 3 not at position 2, 3, of wordform आहे, af: ['s', 'pre', 'ak', 'अस', 'v', '', 'sg', '3']
Suffix 3 not at position 2, 3, of wordform आहे, af: ['s', 'pre', 'ak', 'अस', 'v', '', 'sg', '3']
Suffix ावी not at position 0, 3, of wordform आहे, af: ['अस', 'v', 'f', 'sg', '3', '', 'ावी', 'ावी']
Suffix त not at position 2, 3, of wordform आहे, af: ['आहे', 'v', '', 'pl', '3', '', 'त', 'त']
Suffix 3 not at position 2, 3, of wordform आहे, af: ['s', 'ak', 'pre', 'अस', 'v', '', 'sg', '3']
Suffix 3 not at position 2, 3, of wordform आहे, af: ['s', 'ak', 'pre', 'अस', 'v', '', 'sg', '3']
Suffix ा not at position 0, 1, of wordform आहे, af: ['अस', 'v', '', 'sg', '3', '', 'े', 'ा_हे']
Suffix 3 not at position 3, 4, of wordform आहेत, af: ['s', 'ak', 'pre', 'अस', 'v', '', 'pl', '3']
Suffix 3 not at position 3, 4, of wordform आहेत, af: ['s', 'ak', 'pre', 'अस', 'v', '', 'pl', '3']
Suffix 3 not at position 3, 4, of wordform आहेत, af: ['s', 'pre', 'ak', 'अस', 'v', '', 'pl', '3']
Suffix ल्या not at position 0, 4, of wordform आहेत, af: ['कोर', 'v', 'f', 'pl', '3', '', 'ल्या', 'ल्या']
Suffix 3 not at position 3, 4, of wordform आहेत, af: ['pre', 'ak', 's', 'अस', 'v', '', 'pl', '3']
Suffix 3 not at position 3, 4, of wordform आहेत, af: ['s', 'ak', 'pre', 'अस', 'v', '', 'pl', '3']
Suffix 3 not at position 3, 4, of wordform आहेत, af: ['s', 'ak', 'pre', 'अस', 'v', '', 'pl', '3']
Suffix 3 not at position 3, 4, of wordform आहेत, af: ['s', 'ak', 'pre', 'आहे', 'v', '', 'pl', '3']
Suffix 3 not at position 3, 4, of wordform आहेत, af: ['s', 'pre', 'ak', 'अस', 'v', '', 'pl', '3']
Suffix 3 not at position 3, 4, of wordform आहेत, af: ['pre', 'ak', 's', 'अस', 'v', '', 'pl', '3']
Suffix च्या not at position -1, 3, of wordform इतर, af: ['इतर', 'adj', 'n', 'pl', '', 'd', 'च्या', 'ां_च्या']
Suffix ां not at position 1, 3, of wordform इतर, af: ['इतर', 'adj', 'n', 'pl', '', 'd', 'च्या', 'ां_च्या']
Suffix ं not at position 5, 6, of wordform इमारती, af: ['इमारत', 'n', 'f', 'sg', '', 'o', 'ं', 'ी_ं']
Suffix o not at position 6, 7, of wordform उकडलेले, af: ['l_kr', 'kr', 'उकड', 'v', '', '', '', 'o']
Suffix 3 not at position 5, 6, of wordform उगवतात, af: ['pre', 'ak', 'h', 'उगव', 'v', 'm', 'pl', '3']
Suffix 3 not at position 4, 5, of wordform उगवले, af: ['p', 'ak', 'pas', 'उगव', 'v', 'n', 'sg', '3']
Suffix 3 not at position 5, 6, of wordform उगविले, af: ['p', 'ak', 'pas', 'उगव', 'v', 'n', 'sg', '3']
Suffix d not at position 4, 5, of wordform उतरणे, af: ['n_kr', 'kr', 'उतर', 'v', 'n', 'sg', '', 'd']
Suffix ची not at position 10, 12, of wordform उत्पादनाच्या, af: ['उत्पादन', 'n', 'n', 'sg', '', 'o', 'ची', 'ा_ची']
Suffix पासून not at position 5, 10, of wordform उदयपूरसाठी, af: ['उदयपूरसाठी', 'n', 'n', 'sg', '', 'o', 'पासून', 'पासून']
Suffix ्या not at position 5, 8, of wordform उन्हाळयाच्या, af: ['उन्हाळा', 'unk', 'm', 'sg', '', 'o', 'च्या', '्या_च्या']
Suffix d not at position 5, 6, of wordform उरलेला, af: ['l_kr', 'kr', 'उर', 'v', 'm', 'sg', '', 'd']
Suffix च्या not at position 5, 9, of wordform ऑक्सीजनची, af: ['ऑक्सीजन', 'n', 'm', 'sg', '', 'o', 'च्या', 'च्या']
Suffix 3 not at position 3, 4, of wordform ओढली, af: ['pas', 'ak', 'p', 'ओढ', 'v', 'f', 'sg', '3']
Suffix o not at position 8, 9, of wordform ओरडण्याची, af: ['n_kr', 'kr', 'ओरड', 'v', 'n', 'sg', '', 'o']
Suffix चे not at position 11, 13, of wordform कडधान्यांच्या, af: ['कडधान्य', 'n', 'n', 'pl', '', 'o', 'चे', 'ां_चे']
Suffix ां not at position 11, 13, of wordform कडधान्यांच्या, af: ['कडधान्य', 'n', 'n', 'pl', '', 'o', 'चे', 'ां_चे']
Suffix ची not at position 9, 11, of wordform कडाक्याच्या, af: ['कडाका', 'n', 'm', 'sg', '', 'o', 'ची', '्या_ची']
Suffix बरोबर not at position -1, 4, of wordform कपडे, af: ['कपडा', 'n', 'm', 'pl', '', 'o', 'बरोबर', 'े_बरोबर']
Suffix त not at position 2, 3, of wordform कमी, af: ['कमी', 'avy', '', '', '', '', 'त', 'त']
Suffix चा not at position 2, 4, of wordform कमीत, af: ['उपकरण', 'n', 'n', 'sg', '', 'o', 'चा', 'ा_चा']
Suffix ा not at position 3, 4, of wordform कमीत, af: ['उपकरण', 'n', 'n', 'sg', '', 'o', 'चा', 'ा_चा']
Suffix kr not at position 6, 8, of wordform करणाऱ्या, af: ['कर', 'n', 'm', 'sg', '', 'o', 'ा_ऱ्या', 'kr']
Suffix kr not at position 6, 8, of wordform करणाऱ्या, af: ['कर', 'v', '', '', '', 'o', 'णाऱ्या', 'kr']
Suffix tn not at position 6, 8, of wordform करणाऱ्या, af: ['कर', 'v', '', '', '', 'o', 'णाऱ्या', 'tn']
Suffix kr not at position 6, 8, of wordform करणाऱ्या, af: ['कर', 'v', '', '', '0', 'ऱ्या', 'णाऱ्या', 'kr']
Suffix tn not at position 6, 8, of wordform करणाऱ्या, af: ['कर', 'v', '', 'pl', '', 'o', 'णाऱ्या', 'tn']
Suffix kr not at position 6, 8, of wordform करणाऱ्या, af: ['कर', 'v', '', 'sg', '', 'o', 'ा_ऱ्या', 'kr']
Suffix kr not at position 6, 8, of wordform करणाऱ्या, af: ['कर', 'v', 'f', 'sg', '', 'o', 'ा_ऱ्या', 'kr']
Suffix kr not at position 9, 11, of wordform करणाऱ्यांना, af: ['कर', 'v', 'm', 'pl', '', 'o', 'ऱ्यां_ना', 'kr']
Suffix kr not at position 9, 11, of wordform करणाऱ्यांना, af: ['कर', 'v', 'm', 'pl', '', 'o', 'ऱ्यांना', 'kr']
Suffix kr not at position 8, 10, of wordform करणाऱ्याला, af: ['कर', 'v', 'm', 'sg', '', 'o', 'ऱ्या_ला', 'kr']
Suffix d not at position 3, 4, of wordform करणे, af: ['n_kr', 'kr', 'कर', 'v', 'n', 'sg', '', 'd']
Suffix d not at position 3, 4, of wordform करणे, af: ['n_kr', 'kr', 'कर', 'v', 'n', 'sg', '', 'd']
Suffix d not at position 3, 4, of wordform करणे, af: ['n_kr', 'kr', 'कर', 'v', 'n', 'sg', '', 'd']
Suffix d not at position 3, 4, of wordform करणे, af: ['n_kr', 'kr', 'कर', 'v', 'n', 'sg', '', 'd']
Suffix o not at position 7, 8, of wordform करण्याचा, af: ['n_kr', 'kr', 'कर', 'v', 'n', 'sg', '', 'o']
Suffix o not at position 7, 8, of wordform करण्याची, af: ['n_kr', 'kr', 'कर', 'v', 'n', 'sg', '', 'o']
Suffix o not at position 7, 8, of wordform करण्याचे, af: ['n_kr', 'kr', 'कर', 'v', 'n', 'sg', '', 'o']
Suffix o not at position 9, 10, of wordform करण्याच्या, af: ['n_kr', 'kr', 'कर', 'v', 'n', 'sg', '', 'o']
Suffix o not at position 7, 8, of wordform करण्याने, af: ['n_kr', 'kr', 'कर', 'v', 'n', 'sg', '', 'o']
Suffix o not at position 9, 10, of wordform करण्यामुळे, af: ['n_kr', 'kr', 'कर', 'v', 'n', 'sg', '', 'o']
Suffix d not at position 8, 9, of wordform करण्यासठी, af: ['n_kr', 'kr', 'कर', 'v', '', 'sg', '', 'd']
Suffix 3 not at position 3, 4, of wordform करता, af: ['ak', 'p', 'pas', 'कर', 'v', 'm', 'sg', '3']
Suffix 3 not at position 4, 5, of wordform करतात, af: ['h', 'ak', 'pre', 'कर', 'v', 'm', 'pl', '3']
Suffix 3 not at position 3, 4, of wordform करते, af: ['ak', 'p', 'pas', 'कर', 'v', 'm', 'pl', '3']
Suffix 3 not at position 3, 4, of wordform करते, af: ['h', 'ak', 'pre', 'कर', 'v', 'f', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform करते, af: ['h', 'ak', 'pre', 'कर', 'v', 'f', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform करते, af: ['h', 'ak', 'pre', 'कर', 'v', 'n', 'sg', '3']
Suffix sg not at position 2, 4, of wordform करते, af: ['p', 'c', 'ak', 'pas', 'कर', 'v', 'n', 'sg']
Suffix 3 not at position 3, 4, of wordform करते, af: ['pre', 'ak', 'h', 'कर', 'v', 'f', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform करतो, af: ['h', 'pre', 'ak', 'कर', 'v', 'm', 'sg', '3']
Suffix विलि not at position 2, 6, of wordform करविली, af: ['कर', 'v', '', '', '', '', 'विलि', 'विलि']
Suffix 3 not at position 5, 6, of wordform करायचे, af: ['h', 'ak', 'pas', 'कर', 'v', 'n', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform करीत, af: ['pas', 'ak', 'h', 'कर', 'v', 'm', 'pl', '3']
Suffix ू not at position 2, 3, of wordform करु, af: ['kr', 'कर', 'v', '', '', '', 'ू', 'ू']
Suffix ून not at position 2, 4, of wordform करुन, af: ['कर', 'v', '', '', '', '', 'ून', 'ून']
Suffix d not at position 4, 5, of wordform काढणे, af: ['n_kr', 'kr', 'काढ', 'v', 'n', 'sg', '', 'd']
Suffix लेल्या not at position 1, 7, of wordform काढलेले, af: ['kr', 'काढ', 'v', 'f', 'pl', '', 'd', 'लेल्या']
Suffix ्यात not at position 9, 13, of wordform कानाकोपर्‍यात, af: ['कानाकोपरा', 'n', 'm', 'sg', '3', '', '्यात', '्यात']
Suffix सारखी not at position 9, 14, of wordform कामायनीसारख्या, af: ['कामायनी', 'n', 'f', 'sg', '', 'o', '्या', 'सारखी']
Suffix अन्वये not at position 6, 12, of wordform कायद्यान्वये, af: ['कायदा', 'n', 'm', 'sg', '', 'o', '', 'अन्वये']
Suffix ्या not at position 6, 9, of wordform किनार्‍यावरची, af: ['किनारा', 'n', 'm', 'sg', '', 'o', 'ची', '्या_वर_ची']
Suffix कु not at position 1, 3, of wordform कुणी, af: ['कोण', 'pn', '', 'sg', '', 'o', 'ी', 'कु_ी']
Suffix ु not at position 2, 3, of wordform कुणी, af: ['कोण', 'pn', '', 'sg', '', 'o', 'ी', 'ु_ी']
Suffix ु not at position 2, 3, of wordform कुणी, af: ['कोण', 'pn', '', 'sg', '', 'o', 'ी', 'ु_ी']
Suffix े not at position 2, 3, of wordform के., af: ['कर', 'v', 'm', 'sg', '1', '', 'े', 'े']
Suffix े not at position 2, 3, of wordform के., af: ['कर', 'v', 'm', 'sg', '1', '', 'े', 'े']
Suffix 3 not at position 3, 4, of wordform केला, af: ['h', 'ak', 'pas', 'कर', 'v', 'm', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform केला, af: ['h', 'ak', 'pas', 'कर', 'v', 'm', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform केला, af: ['h', 'pas', 'ak', 'कर', 'v', 'm', 'sg', '3']
Suffix d not at position 3, 4, of wordform केला, af: ['h', 'pas', 'कर', 'v', 'm', 'sg', '3', 'd']
Suffix d not at position 3, 4, of wordform केला, af: ['h', 'pas', 'कर', 'v', 'm', 'sg', '3', 'd']
Suffix 3 not at position 3, 4, of wordform केला, af: ['pas', 'ak', 'h', 'कर', 'v', 'm', 'sg', '3']
Suffix d not at position 3, 4, of wordform केला, af: ['pas', 'ak', 'कर', 'v', 'm', 'sg', '3', 'd']
Suffix 3 not at position 3, 4, of wordform केली, af: ['p', 'ak', 'pas', 'कर', 'v', 'f', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform केली, af: ['p', 'ak', 'pas', 'कर', 'v', 'f', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform केली, af: ['pas', 'ak', 'p', 'कर', 'v', 'f', 'sg', '3']
Suffix ले not at position 2, 4, of wordform केली, af: ['कर', 'v', 'm', 'sg', '3', '', 'ले', 'े_ले']
Suffix े not at position 3, 4, of wordform केली, af: ['कर', 'v', 'm', 'sg', '3', '', 'ले', 'े_ले']
Suffix 3 not at position 3, 4, of wordform केले, af: ['p', 'ak', 'pas', 'कर', 'v', 'n', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform केले, af: ['pas', 'ak', 'p', 'कर', 'v', 'n', 'sg', '3']
Suffix d not at position 5, 6, of wordform केलेलं, af: ['h', 'ak', 'कर', 'v', 'm', 'sg', '1', 'd']
Suffix d not at position 5, 6, of wordform केलेला, af: ['h', 'pas', 'कर', 'v', 'm', 'sg', '1', 'd']
Suffix d not at position 5, 6, of wordform केलेला, af: ['l_kr', 'kr', 'कर', 'v', 'm', 'sg', '', 'd']
Suffix d not at position 5, 6, of wordform केलेला, af: ['pas', 'ak', 'कर', 'v', 'm', 'sg', '3', 'd']
Suffix d not at position 5, 6, of wordform केलेले, af: ['h', 'pas', 'कर', 'v', 'm', 'sg', '3', 'd']
Suffix d not at position 5, 6, of wordform केलेले, af: ['h', 'pas', 'कर', 'v', 'm', 'sg', '3', 'd']
Suffix 3 not at position 5, 6, of wordform केल्या, af: ['pas', 'ak', 'h', 'कर', 'v', 'm', 'sg', '3']
Suffix ेसच्या not at position 6, 12, of wordform कॉलेजेस'च्या, af: ['कॉलेज', 'n', '', '', '', '', 'ेसच्या', 'ेसच्या']
Suffix ही not at position 6, 8, of wordform कोणतीहीच, af: ['कोणती', 'pn', '', '', '', '', 'ही', 'ही']
Suffix ही not at position 11, 13, of wordform कोणतीहीसुद्धा, af: ['कोणती', 'pn', '', '', '', '', 'ही', 'ही']
Suffix पर्यंत not at position 7, 13, of wordform क्षेत्रार्यंत, af: ['क्षेत्र', 'n', 'n', 'sg', '', 'o', 'पर्यंत', 'ा_पर्यंत']
Suffix ा not at position 12, 13, of wordform क्षेत्रार्यंत, af: ['क्षेत्र', 'n', 'n', 'sg', '', 'o', 'पर्यंत', 'ा_पर्यंत']
Suffix pas not at position 3, 6, of wordform खणाणला, af: ['खणाण', 'v', 'm', 'sg', '3', 'o', 'ला', 'pas']
Suffix ण्या not at position 11, 15, of wordform खाण्या-पिण्याची, af: ['kr', 'खा', 'v', 'n', 'sg', '', 'o', 'ण्या']
Suffix sg not at position 3, 5, of wordform गाडते, af: ['c', 'pas', 'ak', 'p', 'गाड', 'v', 'n', 'sg']
Suffix े not at position 2, 3, of wordform गाण, af: ['गाण', 'n', 'n', 'sg', '', 'o', '', 'े']
Suffix े not at position 2, 3, of wordform गाण, af: ['गाणे', 'n', 'n', 'sg', '', 'o', 'े', 'े']
Suffix ीं not at position 5, 7, of wordform गारपिटीमुळे, af: ['गारपिट', 'n', 'f', 'sg', '', '', 'मुळे', 'ीं_मुळे']
Suffix च्या not at position 8, 12, of wordform गावाच्याआतून, af: ['गाव', 'n', 'n', 'sg', '', 'o', 'च्या', 'ा_च्या']
Suffix ा not at position 11, 12, of wordform गावाच्याआतून, af: ['गाव', 'n', 'n', 'sg', '', 'o', 'च्या', 'ा_च्या']
Suffix च्या not at position 8, 12, of wordform गावाच्यामधून, af: ['गाव', 'n', 'n', 'sg', '', 'o', 'च्या', 'ा_च्या']
Suffix ा not at position 11, 12, of wordform गावाच्यामधून, af: ['गाव', 'n', 'n', 'sg', '', 'o', 'च्या', 'ा_च्या']
Suffix 3 not at position 3, 4, of wordform गेला, af: ['pas', 'ak', 'p', 'जा', 'v', 'm', 'sg', '3']
