Root ಬಗಎ not at position 0, of wordform ಅಡಿಯ, normalized ಅಡಇಯ, af: ['ಬಗೆ', 'n', '', 'sg', '3', 'o', 'ಎಯ್+ಅ', 'eVy+a']
Root ಅ not at position 0, of wordform ಇರುವ, normalized ಇರಉವ, af: ['ಚಿನ್ನ', 'v', '', 'sg', '3', '', 'ದ್+ಅ+ಅಂತೆ+ಇ+ಇರು+ಉವ್+ಅ', 'x+a+aMweV+i+iru+uv+a']
Root ಅಂತಎ not at position 0, of wordform ಇರುವ, normalized ಇರಉವ, af: ['ಚಿನ್ನ', 'v', '', 'sg', '3', '', 'ದ್+ಅ+ಅಂತೆ+ಇ+ಇರು+ಉವ್+ಅ', 'x+a+aMweV+i+iru+uv+a']
Morpheme ಬಲ್ಲ not at position 2, of wordform ಇರೋ, normalized ಇರಓ, af: ['ಇರು', 'v', 'any', 'pl', '3', '', 'ಅ+ಬಲ್ಲ+ಅರ್+ಏ', 'a+balla+ar+e']
Root ಊರಉ not at position 0, of wordform ಇಳಿಜಾರಿನ, normalized ಇಳಇಜಆರಇನ, af: ['ಊರು', 'n', '', 'sg', '3', 'o', 'ಇ+ಇನ್+ಅ+ಅಲ್ಲಿ', 'i+in+a+alli']
Morpheme ಅಲ್ಲಇ not at position 8, of wordform ಇಳಿಜಾರಿನ, normalized ಇಳಇಜಆರಇನ, af: ['ಊರು', 'n', '', 'sg', '3', 'o', 'ಇ+ಇನ್+ಅ+ಅಲ್ಲಿ', 'i+in+a+alli']
Morpheme ದ್ not at position 1, of wordform ಇವೆ, normalized ಇವಎ, af: ['ಇರು', 'v', '', 'pl', '3', '', 'ದ್+ಎ', 'x+eV']
Root ಆಚಎ not at position 0, of wordform ಈಚೆಗೆ, normalized ಈಚಎಗಎ, af: ['ಆಚೆ', 'nst', '', '', '', 'o', 'ಗೆ', 'geV']
Root ಕಊಡಉ not at position 0, of wordform ಉಳಿದು, normalized ಉಳಇದಉ, af: ['ಕೂಡು', 'v', '', 'sg', '3', '', 'ಇ+ಕೊಳ್ಳು+ಉತ್ತ್+ಅ+ಅದ್+ಎ', 'i+koVlYlYu+uww+a+ax+eV']
Morpheme ಕಒಳ್ಳಉ not at position 3, of wordform ಉಳಿದು, normalized ಉಳಇದಉ, af: ['ಕೂಡು', 'v', '', 'sg', '3', '', 'ಇ+ಕೊಳ್ಳು+ಉತ್ತ್+ಅ+ಅದ್+ಎ', 'i+koVlYlYu+uww+a+ax+eV']
Morpheme ಅಲ್ not at position 4, of wordform ಉಳಿಯುವುದಕ್ಕಾಗಿ, normalized ಉಳಇಯಉವಉದಕ್ಕಆಗಇ, af: ['ಉಳಿ', 'v', '', 'sg', '3', '', 'ಇಯ್+ಅ+ಅಲ್+ಉ', 'iy+a+al+u']
Morpheme 0ಬ್ not at position 9, of wordform ಎಂಬುದನ್ನು, normalized ಎಂಬಉದನ್ನಉ, af: ['ಎನ್ನು', 'v', '', '', '', '', '0ಬ್+ಉ+ಉದ್+ಅ+ಅನ್ನು', 'Mb+u+ux+a+annu']
Morpheme ಉವ್ not at position 4, of wordform ಎತ್ತೋದೇ, normalized ಎತ್ತಓದಏ, af: ['ಎತ್ತು', 'v', '', '', '', '', 'ಉವ್+ದ್+ಏ', 'uv+x+e']
Root ಏಳಉ not at position 0, of wordform ಎದ್ದ, normalized ಎದ್ದ, af: ['ಏಳು', 'v', '', '', '', '', 'ದ್ದ್+ಅ', 'xx+a']
Root ಏಳಉ not at position 0, of wordform ಎದ್ದ, normalized ಎದ್ದ, af: ['ಏಳು', 'v', '', '', '', 'd', 'ದ್ದ್+ಅ', 'xx+a']
Root ಏಳಉ not at position 0, of wordform ಎದ್ದಿತು, normalized ಎದ್ದಇತಉ, af: ['ಏಳು', 'v', '', 'sg', '3', '', 'ದ್ದ್+ಇ+ಇರು+ಇತ್+ಉ', 'xx+i+iru+iw+u']
Root ಏಳಉ not at position 0, of wordform ಎದ್ದು, normalized ಎದ್ದಉ, af: ['ಏಳು', 'adv', '', '', '', '', 'ದ್ದ್+ಉ', 'xx+u']
Root ಏಳಉ not at position 0, of wordform ಎದ್ದು, normalized ಎದ್ದಉ, af: ['ಏಳು', 'v', '', '', '', '', 'ದ್ದ್+ಉ', 'xx+u']
Root ಏಳಉ not at position 0, of wordform ಎದ್ದುಕೊಂಡಿತು, normalized ಎದ್ದಉಕಒಂಡಇತಉ, af: ['ಏಳು', 'v', '', 'sg', '3', '', 'ದ್ದ್+ಉ+ಕೊಳ್ಳು+ಂಡ್+ಇ+ಇತ್+ಉ', 'xx+u+koVlYlYu+Md+i+iw+u']
Morpheme pಊ not at position 4, of wordform ಎಲ್ಲೂ, normalized ಎಲ್ಲಊ, af: ['ಎಲ್ಲಿ', 'pn', '', '', '', 'o', 'pಊ', 'U']
Morpheme ಇಯ್ not at position 4, of wordform ಎಲ್ಲೂ, normalized ಎಲ್ಲಊ, af: ['ಎಲ್ಲಿ', 'pn', '', '', '', 'o', 'ಇಯ್+ಊ', 'iy+U']
Morpheme ರ್ not at position 9, of wordform ಎಲ್ಲೆಲ್ಲಿ, normalized ಎಲ್ಲಎಲ್ಲಇ, af: ['ಎಲ್ಲೆಲ್ಲಿ', 'pn', 'any', 'pl', '2', 'o', 'ರ್+ಉ', 'r+u']
Morpheme ಉವ್ not at position 5, of wordform ಒದಗಿಸಿ, normalized ಒದಗಇಸಇ, af: ['ಒದಗಿಸು', 'v', '', 'sg', '3', 'd', 'ಉವ್+ಅ', 'uv+a']
Morpheme ಅದ್ not at position 10, of wordform ಕಂಡುಬರುತ್ತವೆ, normalized ಕಂಡಉಬರಉತ್ತವಎ, af: ['ಕಾಣು', 'v', '', 'pl', '3', '', 'ಂಡ್+ಉ+ಬರು+ಉತ್ತ್+ಅ+ಅದ್+ಎ', 'Md+u+baru+uww+a+ax+eV']
Morpheme ಅನ್ not at position 7, of wordform ಕಟ್ಟಿಸಿ, normalized ಕಟ್ಟಇಸಇ, af: ['ಕಟ್ಟು', 'v', '', '', '', '', 'ಇಸ್+ಇ+ಇದ್+ಅ+ಅನ್+ಉ', 'is+i+ix+an+u']
Morpheme ಆಳಉ not at position 9, of wordform ಕಟ್ಟಿಸಿದ್ದಳು, normalized ಕಟ್ಟಇಸಇದ್ದಳಉ, af: ['ಕಟ್ಟು', 'v', 'f', 'sg', '3', '', 'ಇ+ಇಸ್+ಇ+ಇದ್+ಅ+ಆಳು', 'i+is+i+ix+a+alYu']
Morpheme ಆಗಇ not at position 5, of wordform ಕಡಿಮೆ, normalized ಕಡಇಮಎ, af: ['ಕಡಿಮೆ', 'n', '', '', '', 'o', 'ಆಗಿ', 'Agi']
Morpheme ಅವ್ not at position 8, of wordform ಕಲಿತಿದ್ದನ್ನು, normalized ಕಲಇತಇದ್ದನ್ನಉ, af: ['ಕಲಿ', 'v', '', '', '', '', 'ಇತ್+ಇ+ಇರು+ದ್ದ್+ಅ+ಅವ್+ಅ+ಅನ್ನು', 'iw+i+iru+xx+a+annu']
Morpheme ಆಲ್ not at position 6, of wordform ಕಲ್ಪಿಸಲು, normalized ಕಲ್ಪಇಸಲಉ, af: ['ಕಲ್ಪಿಸು', 'v', '', '', '', '', 'ಅ+ಆಲ್+ಉ', 'a+al+u']
Morpheme ಅಲ್ಲಇ not at position 8, of wordform ಕಾರ್ಖಾನೆ, normalized ಕಆರ್ಖಆನಎ, af: ['ಕಾರ್ಖಾನೆ', 'n', '', 'sg', '3', 'o', 'ಎಯ್+ಅ+ಅಲ್ಲಿ', 'eVy+a+alli']
Morpheme ಅಲ್ಲಇ not at position 9, of wordform ಕಾರ್ಖಾನೆಯ, normalized ಕಆರ್ಖಆನಎಯ, af: ['ಕಾರ್ಖಾನೆ', 'n', '', 'sg', '3', 'o', 'ಎಯ್+ಅ+ಅಲ್ಲಿ', 'eVy+a+alli']
Morpheme ಗಳಉ not at position 2, of wordform ಕೈ, normalized ಕಐ, af: ['ಕೈ', 'n', '', 'pl', '3', 'o', 'ಗಳು', 'galYu']
Morpheme al not at position 9, of wordform ಕೈಗೊಳ್ಳಲು, normalized ಕಐಗಒಳ್ಳಲಉ, af: ['ಕೈಗೊಳ್ಳು', 'v', '', '', '', '', 'ಅ+ಅಲ್+ಉa+al+u', '']
Morpheme 0ಡ್ not at position 2, of wordform ಕೊಂಡಾಗ, normalized ಕಒಂಡಆಗ, af: ['ಕೊಳ್ಳು', 'v', '', '', '', '', '0ಡ್+ಆ+ಆಗ', 'Md+A+Aga']
Morpheme ಇರಉ not at position 9, of wordform ಕೊಡಬೇಕಾಗುತ್ತದೆ, normalized ಕಒಡಬಏಕಆಗಉತ್ತದಎ, af: ['ಕೊಡಬೇಕಾಗು', 'v', '', 'sg', '3', '', 'ಇರು+ಉತ್ತ್+ಅ+ಅದ್+ಎ', 'iru+uww+a+ax+eV']
Morpheme ಇರಉ not at position 7, of wordform ಕೊಡಲಾಗುತ್ತದೆ, normalized ಕಒಡಲಆಗಉತ್ತದಎ, af: ['ಕೊಡಲಾಗು', 'v', '', 'sg', '3', '', 'ಇರು+ಉತ್ತ್+ಅ+ಅದ್+ಎ', 'iru+uww+a+ax+eV']
Morpheme ಉತ್ತ್ not at position 5, of wordform ಕೊಡಿಸಿದ್ದೇನೆ, normalized ಕಒಡಇಸಇದ್ದಏನಎ, af: ['ಕೊಡಿಸು', 'v', '', 'sg', '3', '', 'ಉತ್ತ್+ಇ+ಇರು+ದ್ದ್+ಏ+ಏನ್+ಎ', 'uww+i+iru+xx+e+eneV']
Morpheme ಇಲ್ಲ not at position 6, of wordform ಕೊಡೋದು, normalized ಕಒಡಓದಉ, af: ['ಕೊಡು', 'v', '', '', '3', '', 'ದ್+ಇ+ಇಲ್ಲ', 'x+i+illa']
Morpheme ಇಯ್ not at position 5, of wordform ಕೊಳ್ಳದಲ್ಲೋ, normalized ಕಒಳ್ಳದಲ್ಲಓ, af: ['ಕೊಳ್ಳ', 'n', '', 'sg', '3', 'o', 'ಇಯ್+ಅ+ಅಲ್ಲ್+ಓ', 'iy+a+all+o']
Morpheme ಗಳಉ not at position 7, of wordform ಕ್ಷೇತ್ರ, normalized ಕ್ಷಏತ್ರ, af: ['ಕ್ಷೇತ್ರ', 'n', '', 'pl', '3', 'o', 'ಗಳು+ಅ', 'galYu+a']
Morpheme koVlYlYu not at position 18, of wordform ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಬೇಕು, normalized ಖಚಇತಪಡಇಸಇಕಒಳ್ಳಬಏಕಉ, af: ['ಖಚಿತಪಡಿಸು', 'v', '', '', '', '', 'ಇ+ಕೊಳ್ಳು+ಅ+ಬೇಕುi+koVlYlYu+a+beku', '']
Morpheme beku not at position 18, of wordform ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಬೇಕು, normalized ಖಚಇತಪಡಇಸಇಕಒಳ್ಳಬಏಕಉ, af: ['ಖಚಿತಪಡಿಸು', 'v', '', '', '', '', 'ಇ+ಕೊಳ್ಳು+ಅ+ಬೇಕುi+koVlYlYu+a+beku', '']
Morpheme ಆದ not at position 5, of wordform ಖರ್ಚು, normalized ಖರ್ಚಉ, af: ['ಖರ್ಚು', 'n', '', 'sg', '3', 'o', 'ಆದ', 'Axa']
Morpheme ಇಯ್ not at position 11, of wordform ಗಂಟೆಗಟ್ಟೆಲೆ, normalized ಗಂಟಎಗಟ್ಟಎಲಎ, af: ['ಗಂಟೆಗಟ್ಟೆಲೆ', 'n', '', '', '3', 'o', 'ಇಯ್+ಅ+ಅಲ್ಲಿ', 'iy+a+alli']
Morpheme ಅi not at position 13, of wordform ಗಳಿಸಿಕೊಂಡಿರುವ, normalized ಗಳಇಸಇಕಒಂಡಇರಉವ, af: ['ಗಳಿಸು', 'v', '', '', '', '', 'ಇ+ಕೊಳ್ಳು+ಂಡ್+ಇ+ಇರು+ಉವ್+ಅi+koVlYlYu+Md+i+iru+uv+a', '']
Morpheme koVlYlYu not at position 13, of wordform ಗಳಿಸಿಕೊಂಡಿರುವ, normalized ಗಳಇಸಇಕಒಂಡಇರಉವ, af: ['ಗಳಿಸು', 'v', '', '', '', '', 'ಇ+ಕೊಳ್ಳು+ಂಡ್+ಇ+ಇರು+ಉವ್+ಅi+koVlYlYu+Md+i+iru+uv+a', '']
Morpheme Md not at position 13, of wordform ಗಳಿಸಿಕೊಂಡಿರುವ, normalized ಗಳಇಸಇಕಒಂಡಇರಉವ, af: ['ಗಳಿಸು', 'v', '', '', '', '', 'ಇ+ಕೊಳ್ಳು+ಂಡ್+ಇ+ಇರು+ಉವ್+ಅi+koVlYlYu+Md+i+iru+uv+a', '']
Morpheme iru not at position 13, of wordform ಗಳಿಸಿಕೊಂಡಿರುವ, normalized ಗಳಇಸಇಕಒಂಡಇರಉವ, af: ['ಗಳಿಸು', 'v', '', '', '', '', 'ಇ+ಕೊಳ್ಳು+ಂಡ್+ಇ+ಇರು+ಉವ್+ಅi+koVlYlYu+Md+i+iru+uv+a', '']
Morpheme uv not at position 13, of wordform ಗಳಿಸಿಕೊಂಡಿರುವ, normalized ಗಳಇಸಇಕಒಂಡಇರಉವ, af: ['ಗಳಿಸು', 'v', '', '', '', '', 'ಇ+ಕೊಳ್ಳು+ಂಡ್+ಇ+ಇರು+ಉವ್+ಅi+koVlYlYu+Md+i+iru+uv+a', '']
Root ಸಆಲ not at position 0, of wordform ಗಾತ್ರ, normalized ಗಆತ್ರ, af: ['ಸಾಲ', 'n', '', 'sg', '3', 'o', 'ಅ', 'a']
Root ಅ not at position 0, of wordform ಗಾತ್ರ, normalized ಗಆತ್ರ, af: ['ಸಾಲ', 'n', '', 'sg', '3', 'o', 'ಅ', 'a']
Morpheme ಅವ್ not at position 6, of wordform ಗುರುತುಗಳನ್ನೇ, normalized ಗಉರಉತಉಗಳನ್ನಏ, af: ['ಗುರುತು', 'n', '', 'pl', '3', 'o', 'ಅವ್+ಅ+ಅನ್ನು+ಏ', 'av+a+annu+e']
Root ಬಉದ್ಧಇ not at position 0, of wordform ಗೆಡ್ಡೆಯನ್ನು, normalized ಗಎಡ್ಡಎಯನ್ನಉ, af: ['ಬುದ್ಧಿ', 'n', '', 'sg', '3', 'o', 'ಎಯ್+ಅ+ಅನ್ನು', 'eVy+a+annu']
Morpheme ಏಯ್ not at position 4, of wordform ಗೋಡೆಯ, normalized ಗಓಡಎಯ, af: ['ಗೋಡೆ', 'n', '', 'sg', '3', 'o', 'ಏಯ್+ಅ', 'eVy+a']
Morpheme ಆವರಎಗಊ not at position 6, of wordform ಘಳಿಗೆಯವರೆಗೂ, normalized ಘಳಇಗಎಯವರಎಗಊ, af: ['ಘಳಿಗೆ', 'n', '', 'sg', '3', 'o', 'ಎಯ್+ಅ+ಆವರೆಗೂ', 'eVy+a+AvareVgU']
Morpheme ಗಳಉ not at position 7, of wordform ಚಿತ್ತಾರ, normalized ಚಇತ್ತಆರ, af: ['ಚಿತ್ತಾರ', 'n', '', 'sg', '3', 'o', 'ಗಳು', 'galYu']
Morpheme ಉವ್ not at position 2, of wordform ಚಿನ್ನದಂತೆ, normalized ಚಇನ್ನದಂತಎ, af: ['ಚಿನ್ನ', 'n', '', 'sg', '3', '', 'ದ್+ಅ+ಅಂತೆ+ಇ+ಇರು+ಉವ್+ಅ', 'x+a+aMweV+i+iru+uv+a']
Root ಮಔಲ್ಯ not at position 0, of wordform ಚಿನ್ನವು, normalized ಚಇನ್ನವಉ, af: ['ಮೌಲ್ಯ', 'n', '', 'sg', '3', 'o', 'ಅವ್+ಅ+ಅನ್ನು', 'av+a+annu']
Morpheme ಅದ್ not at position 5, of wordform ಜಲಪಾತವನ್ನು, normalized ಜಲಪಆತವನ್ನಉ, af: ['ಜಲಪಾತ', 'n', '', 'sg', '3', 'o', 'ಅದ್+ಅ+ಅನ್ನು', 'ax+a+annu']
Morpheme ಅವ್ not at position 6, of wordform ಜಾಗೃತರಾಗಿ, normalized ಜಆಗಋತರಆಗಇ, af: ['ಜಾಗೃತರು', 'adv', '', '', '', '', 'ಅವ್+ಆ+ಆಗು+ಇ', 'av+A+Agu+i']
Morpheme ಅಲ್ಲಇ not at position 9, of wordform ಜಾರ್ಖಂಡಿನ, normalized ಜಆರ್ಖಂಡಇನ, af: ['ಜಾರ್ಖಂಡ', 'n', '', 'sg', '3', 'o', 'ಇ+ಇನ್+ಅ+ಅಲ್ಲಿ', 'i+in+a+alli']
Morpheme ಇಯ್ not at position 3, of wordform ಜೊತೇಲೇ, normalized ಜಒತಏಲಏ, af: ['ಜೊತೆ', 'psp', '', '', '', '', 'ಇಯ್+ಏ', 'iy+e']
Morpheme ಅವ್ not at position 3, of wordform ಜೋರಾಗಿ, normalized ಜಓರಆಗಇ, af: ['ಜೋರು', 'adv', '', '', '', '', 'ಅವ್+ಆ+ಆಗು+ಇ', 'av+A+Agu+i']
Morpheme ಎಯ್ not at position 5, of wordform ತಟ್ಟೇಲಿ, normalized ತಟ್ಟಏಲಇ, af: ['ತಟ್ಟೇ', 'n', '', 'sg', '3', 'o', 'ಎಯ್+ಲ್+ಇ', 'eVy+l+i']
Morpheme ಈರ್ not at position 8, of wordform ತಲುಪುತ್ತಿರಿ, normalized ತಲಉಪಉತ್ತಇರಇ, af: ['ತಲುಪು', 'v', 'any', 'pl', '2', '', 'ಉತ್ತ್+ಈ+ಈರ್+ಇ', 'uww+I+Ir+i']
Morpheme ಇಯ್ not at position 6, of wordform ತಾವಾಗೆ, normalized ತಆವಆಗಎ, af: ['ತಾನು', 'pn', 'any', 'sg', '1', 'o', 'ವ್+ಆ+ಆಗು+ಇ+ಇಯ್+ಏ', 'v+A+Agu+iy+eV']
Morpheme ಏಯ್ not at position 7, of wordform ತಿಳಿದುಕೊಂಡೆಯಾ, normalized ತಇಳಇದಉಕಒಂಡಎಯಆ, af: ['ತಿಳಿದುಕೊಳ್ಳು', 'v', '', '', '2', '', 'ಏ+ಏಯ್+ಅ', 'e+ey+a']
Morpheme ಅವ್ not at position 3, of wordform ತೆರನಾದ, normalized ತಎರನಆದ, af: ['ತೆರ', 'adj', '', '', '', 'o', 'ಅವ್+ಆ+ಆಗು+ದ್+ಅ', 'av+A+Agu+x+a']
Morpheme is not at position 6, of wordform ತೋರಿಸದ, normalized ತಓರಇಸದ, af: ['ತೋರು', 'v', '', '', '', '', 'ಇ+ಇಸ್+ಅ+ಅದ್+ಅ.i+is+a+ax+a', '']
Morpheme ax not at position 6, of wordform ತೋರಿಸದ, normalized ತಓರಇಸದ, af: ['ತೋರು', 'v', '', '', '', '', 'ಇ+ಇಸ್+ಅ+ಅದ್+ಅ.i+is+a+ax+a', '']
Root ಅಸಆಧಆರಣ not at position 0, of wordform ದ, normalized ದ, af: ['ಅಸಾಧಾರಣ', 'v', '', '', '', 'o', 'ಅವ್+ಆ+ಆಗು+ದ್+ಅ', 'av+A+Agu+x+a']
Root ಅವ್ not at position 0, of wordform ದ, normalized ದ, af: ['ಅಸಾಧಾರಣ', 'v', '', '', '', 'o', 'ಅವ್+ಆ+ಆಗು+ದ್+ಅ', 'av+A+Agu+x+a']
Root ಆ not at position 0, of wordform ದ, normalized ದ, af: ['ಅಸಾಧಾರಣ', 'v', '', '', '', 'o', 'ಅವ್+ಆ+ಆಗು+ದ್+ಅ', 'av+A+Agu+x+a']
Root ಆಗಉ not at position 0, of wordform ದ, normalized ದ, af: ['ಅಸಾಧಾರಣ', 'v', '', '', '', 'o', 'ಅವ್+ಆ+ಆಗು+ದ್+ಅ', 'av+A+Agu+x+a']
